Geneid	SRR9257062
AT1G30814	0
AT1G78930	555
AT1G71695	2641
AT1G58983	0
AT1G12980	7
AT1G45223	0
AT1G56250	10
AT1G66852	0
AT1G69810	207
AT1G72450	448
AT1G76280	697
AT1G65630	6
AT1G71390	2
AT1G56233	0
AT1G15210	509
AT1G15250	952
AT1G79700	39
AT1G62895	0
AT1G73360	94
AT1G16360	20
AT1G10225	48
AT1G26670	1067
AT1G34855	0
AT1G52200	378
AT1G57800	5
AT1G69460	1467
AT1G04310	228
AT1G08080	9
AT1G75550	77
AT1G71890	82
AT1G05430	1336
AT1G80870	807
AT1G75310	592
AT1G02010	255
AT1G47900	1022
AT1G14315	4
AT1G26760	88
AT1G05250	0
AT1G67260	9
AT1G24575	234
AT1G12790	114
AT1G04850	5092
AT1G31760	689
AT1G33250	469
AT1G74000	107
AT1G55580	13
AT1G53903	0
AT1G19715	2552
AT1G69430	32
AT1G53340	57
AT1G29890	661
AT1G80290	221
AT1G56540	20
AT1G48650	2097
AT1G22670	2
AT1G07030	708
AT1G69860	1
AT1G10120	485
AT1G43650	107
AT1G09960	448
AT1G51990	0
AT1G53625	27
AT1G63360	534
AT1G33330	475
AT1G74929	0
AT1G63430	813
AT1G80720	387
AT1G69770	1727
AT1G08460	1158
AT1G78710	0
AT1G08610	635
AT1G17540	13
AT1G27380	23
AT1G58643	0
AT1G48953	3
AT1G51440	105
AT1G18871	0
AT1G25210	0
AT1G21610	816
AT1G79710	312
AT1G80840	204
AT1G71300	0
AT1G49490	144
AT1G23645	0
AT1G09795	1897
AT1G48690	92
AT1G49570	88
AT1G68470	163
AT1G75580	308
AT1G26400	0
AT1G72980	12
AT1G59970	222
AT1G11520	0
AT1G30640	333
AT1G26440	435
AT1G51320	0
AT1G22070	881
AT1G26700	0
AT1G73603	0
AT1G55650	1
AT1G78180	418
AT1G55928	0
AT1G29880	3910
AT1G53645	1498
AT1G06240	279
AT1G72330	814
AT1G20840	1079
AT1G45050	290
AT1G52500	726
AT1G10430	928
AT1G05670	353
AT1G64110	143
AT1G65220	2878
AT1G13635	53
AT1G54950	0
AT1G55730	314
AT1G07310	785
AT1G77230	255
AT1G52400	893
AT1G16430	328
AT1G27752	661
AT1G14880	4
AT1G11190	421
AT1G43100	0
AT1G26650	366
AT1G54420	0
AT1G34640	381
AT1G50310	3
AT1G49430	700
AT1G74240	710
AT1G01760	104
AT1G61160	0
AT1G47480	86
AT1G65820	4643
AT1G22900	22
AT1G76820	650
AT1G52080	281
AT1G35180	86
AT1G30070	2441
AT1G35210	35
AT1G10410	2288
AT1G73740	190
AT1G53350	235
AT1G34110	583
AT1G17240	46
AT1G61730	1332
AT1G29260	1028
AT1G33890	1
AT1G08040	862
AT1G63522	0
AT1G08810	218
AT1G09210	8664
AT1G70080	3
AT1G10522	2272
AT1G04570	123
AT1G01830	320
AT1G12340	5
AT1G67590	673
AT1G69080	101
AT1G31400	2
AT1G74385	0
AT1G73300	1
AT1G05760	0
AT1G30530	2432
AT1G12480	36
AT1G76850	1371
AT1G73570	314
AT1G44130	53
AT1G67340	478
AT1G80315	0
AT1G43666	0
AT1G08630	32
AT1G66150	1644
AT1G04640	637
AT1G56500	1491
AT1G12615	0
AT1G77120	3512
AT1G50590	68
AT1G17147	23
AT1G44740	200
AT1G08005	0
AT1G24380	15
AT1G60787	1
AT1G26796	0
AT1G68500	215
AT1G15500	9599
AT1G77760	2205
AT1G24062	0
AT1G53510	1236
AT1G51410	1
AT1G50020	611
AT1G22370	815
AT1G53265	0
AT1G17270	164
AT1G74350	85
AT1G75230	301
AT1G29150	3501
AT1G17140	895
AT1G08380	41147
AT1G43560	1440
AT1G07700	1648
AT1G33750	125
AT1G61270	0
AT1G14750	163
AT1G05900	290
AT1G44120	1
AT1G52990	70
AT1G37130	21430
AT1G48175	434
AT1G72140	41
AT1G66465	4
AT1G43260	0
AT1G14420	1
AT1G01710	717
AT1G44000	1189
AT1G73960	962
AT1G11360	705
AT1G04490	38
AT1G78476	9
AT1G15310	691
AT1G13300	162
AT1G55530	1168
AT1G47350	0
AT1G74458	88
AT1G32120	202
AT1G17260	63
AT1G32660	1
AT1G31480	369
AT1G17500	878
AT1G50780	2
AT1G21150	72
AT1G78110	290
AT1G80080	579
AT1G23260	731
AT1G09790	0
AT1G60270	350
AT1G25400	207
AT1G77980	0
AT1G43140	1
AT1G42470	757
AT1G34170	0
AT1G56150	113
AT1G75520	106
AT1G53890	0
AT1G43722	0
AT1G73370	255
AT1G01230	417
AT1G70700	954
AT1G02380	65
AT1G48870	58
AT1G69280	127
AT1G36950	0
AT1G12430	951
AT1G56320	96
AT1G50880	0
AT1G36310	952
AT1G44830	70
AT1G01300	1775
AT1G48050	634
AT1G36925	0
AT1G30670	0
AT1G22180	396
AT1G17450	668
AT1G61630	0
AT1G28590	1
AT1G79670	486
AT1G68170	99
AT1G60080	563
AT1G51240	0
AT1G07130	0
AT1G42525	0
AT1G64355	810
AT1G04820	11797
AT1G71866	8
AT1G33050	956
AT1G77810	398
AT1G16210	2072
AT1G34580	76
AT1G02050	429
AT1G66500	442
AT1G04030	237
AT1G32480	0
AT1G29370	1234
AT1G18880	378
AT1G50740	388
AT1G02580	6
AT1G58220	120
AT1G07350	5328
AT1G06950	4696
AT1G19200	62
AT1G52140	282
AT1G18550	239
AT1G77510	3665
AT1G52430	32
AT1G15950	759
AT1G67850	312
AT1G69620	8390
AT1G49110	0
AT1G57860	6051
AT1G63160	372
AT1G71050	86
AT1G28510	445
AT1G48240	1166
AT1G71140	107
AT1G66960	2
AT1G36370	2036
AT1G58242	0
AT1G63370	16
AT1G56110	8037
AT1G14510	1445
AT1G19010	296
AT1G54250	860
AT1G55170	456
AT1G70230	917
AT1G52830	5
AT1G45015	1
AT1G23160	0
AT1G67510	307
AT1G08230	711
AT1G67780	168
AT1G76830	0
AT1G04280	432
AT1G55020	3032
AT1G48970	1024
AT1G79420	192
AT1G70350	461
AT1G35375	0
AT1G28306	1
AT1G12450	175
AT1G57660	9820
AT1G19086	0
AT1G05870	1106
AT1G07540	0
AT1G78820	1046
AT1G03790	15
AT1G02220	1710
AT1G74420	20
AT1G68700	5
AT1G64820	0
AT1G56680	42
AT1G58848	81
AT1G23985	0
AT1G22140	709
AT1G75210	689
AT1G30330	1129
AT1G77200	90
AT1G30360	2683
AT1G75280	6659
AT1G18200	76
AT1G55680	3095
AT1G34000	1019
AT1G04410	23574
AT1G45243	0
AT1G21650	813
AT1G28520	1355
AT1G14048	0
AT1G05220	36
AT1G63245	10
AT1G66180	2255
AT1G07790	1049
AT1G07720	489
AT1G16420	6
AT1G72740	869
AT1G05060	348
AT1G55960	1238
AT1G32060	12479
AT1G77700	74
AT1G75510	993
AT1G54090	630
AT1G26520	294
AT1G15240	1024
AT1G07980	896
AT1G01740	278
AT1G62914	132
AT1G53090	579
AT1G08540	2066
AT1G12460	341
AT1G06250	143
AT1G52827	109
AT1G47690	0
AT1G49590	445
AT1G06280	0
AT1G78420	1186
AT1G08465	299
AT1G32970	1
AT1G28815	0
AT1G01260	549
AT1G26815	1
AT1G16730	1421
AT1G08700	2413
AT1G66590	672
AT1G09550	0
AT1G16370	3
AT1G80730	4
AT1G11420	281
AT1G61210	698
AT1G57980	22
AT1G15140	1693
AT1G04810	2095
AT1G67070	109
AT1G53270	38
AT1G04550	588
AT1G44940	0
AT1G47810	0
AT1G27450	6866
AT1G33055	343
AT1G69400	114
AT1G51920	0
AT1G56000	254
AT1G42540	1178
AT1G08100	0
AT1G29465	198
AT1G75960	341
AT1G63420	417
AT1G29470	10769
AT1G48310	258
AT1G32930	394
AT1G63880	1675
AT1G04630	2001
AT1G27150	839
AT1G79110	463
AT1G68490	2563
AT1G06040	2260
AT1G18970	136
AT1G72430	1723
AT1G03040	1179
AT1G28250	361
AT1G66630	0
AT1G10530	30
AT1G24090	346
AT1G09640	3777
AT1G14080	77
AT1G78760	5
AT1G44542	2
AT1G49350	244
AT1G47240	298
AT1G28430	2
AT1G12190	0
AT1G66610	0
AT1G16022	11
AT1G13370	67
AT1G21370	534
AT1G21590	1126
AT1G50390	53
AT1G60870	1335
AT1G69870	3561
AT1G18610	446
AT1G13890	0
AT1G24260	1085
AT1G64140	4217
AT1G02290	369
AT1G26740	1035
AT1G20460	184
AT1G11500	11
AT1G75040	669
AT1G07985	118
AT1G74035	0
AT1G15510	988
AT1G07040	624
AT1G71170	1207
AT1G63470	271
AT1G13640	1563
AT1G35516	843
AT1G22210	2
AT1G33230	1284
AT1G18050	3
AT1G79340	2360
AT1G57680	1732
AT1G29140	1
AT1G55110	147
AT1G67775	0
AT1G57730	2
AT1G64550	5701
AT1G68710	564
AT1G79270	1538
AT1G67310	1096
AT1G65610	221
AT1G53880	0
AT1G64380	51
AT1G27920	4
AT1G07220	551
AT1G14130	464
AT1G55040	377
AT1G35630	0
AT1G53860	39
AT1G71010	2185
AT1G56240	1
AT1G20630	1978
AT1G54217	127
AT1G44920	1594
AT1G63970	2921
AT1G26945	105
AT1G67870	3116
AT1G62850	727
AT1G50520	112
AT1G31500	429
AT1G15820	57454
AT1G72690	249
AT1G29030	886
AT1G75160	7
AT1G26090	349
AT1G59660	668
AT1G52460	0
AT1G10720	514
AT1G67670	1
AT1G11410	506
AT1G19025	87
AT1G80050	613
AT1G50320	2164
AT1G77330	802
AT1G50090	25
AT1G16650	306
AT1G50830	18
AT1G02410	865
AT1G04420	5310
AT1G05190	10908
AT1G60660	386
AT1G13950	575
AT1G23147	0
AT1G17460	538
AT1G02110	713
AT1G32990	6173
AT1G22380	104
AT1G61300	510
AT1G15840	1
AT1G15440	2099
AT1G49650	767
AT1G18850	1064
AT1G34150	665
AT1G13320	2253
AT1G13820	1536
AT1G15880	596
AT1G80810	247
AT1G54957	0
AT1G65310	458
AT1G20010	4015
AT1G52570	99
AT1G33520	1120
AT1G54350	514
AT1G58160	67
AT1G30190	9
AT1G14550	0
AT1G62450	0
AT1G16830	152
AT1G44090	0
AT1G10880	0
AT1G64633	0
AT1G03830	655
AT1G52530	26
AT1G63580	6
AT1G01600	131
AT1G10210	158
AT1G62720	73
AT1G36980	2186
AT1G16705	10
AT1G74180	263
AT1G69480	156
AT1G71520	1
AT1G34792	0
AT1G35190	1184
AT1G07850	4
AT1G09620	3764
AT1G02570	6
AT1G26790	1
AT1G03620	61
AT1G01350	1482
AT1G65770	1
AT1G21395	0
AT1G13810	507
AT1G14520	351
AT1G55630	229
AT1G18390	149
AT1G26797	0
AT1G25480	105
AT1G28190	386
AT1G49530	45
AT1G18486	0
AT1G12880	233
