Geneid	SRR9257060
AT1G75280	2577
AT1G18200	94
AT1G55680	2677
AT1G34000	1709
AT1G04410	28133
AT1G45243	0
AT1G21650	845
AT1G28520	1579
AT1G14048	0
AT1G05220	28
AT1G63245	18
AT1G66180	1468
AT1G07790	2680
AT1G07720	601
AT1G16420	11
AT1G72740	522
AT1G05060	276
AT1G55960	492
AT1G32060	27270
AT1G77700	103
AT1G75510	725
AT1G54090	626
AT1G26520	277
AT1G15240	930
AT1G07980	498
AT1G01740	191
AT1G62914	82
AT1G53090	300
AT1G08540	3966
AT1G12460	325
AT1G06250	38
AT1G52827	113
AT1G47690	0
AT1G49590	386
AT1G06280	0
AT1G78420	690
AT1G08465	377
AT1G32970	2
AT1G28815	0
AT1G01260	594
AT1G26815	0
AT1G16730	91
AT1G08700	786
AT1G66590	183
AT1G09550	1
AT1G16370	28
AT1G80730	22
AT1G11420	179
AT1G61210	637
AT1G57980	104
AT1G15140	3493
AT1G04810	2236
AT1G67070	77
AT1G53270	80
AT1G04550	621
AT1G44940	0
AT1G47810	0
AT1G27450	6949
AT1G33055	122
AT1G69400	117
AT1G51920	11
AT1G56000	273
AT1G42540	711
AT1G08100	0
AT1G29465	30
AT1G75960	556
AT1G63420	510
AT1G29470	8089
AT1G48310	271
AT1G32930	207
AT1G63880	1089
AT1G04630	1197
AT1G27150	601
AT1G79110	1119
AT1G68490	1403
AT1G06040	1989
AT1G18970	77
AT1G72430	435
AT1G03040	1115
AT1G28250	431
AT1G66630	0
AT1G10530	35
AT1G24090	135
AT1G09640	3110
AT1G14080	158
AT1G78760	1
AT1G44542	0
AT1G49350	254
AT1G47240	509
AT1G28430	0
AT1G12190	0
AT1G66610	0
AT1G16022	14
AT1G13370	14
AT1G21370	360
AT1G21590	1271
AT1G50390	12
AT1G60870	1382
AT1G69870	3075
AT1G18610	343
AT1G13890	0
AT1G24260	154
AT1G64140	2653
AT1G02290	250
AT1G26740	618
AT1G20460	112
AT1G11500	13
AT1G75040	830
AT1G07985	44
AT1G74035	0
AT1G15510	586
AT1G07040	776
AT1G71170	693
AT1G63470	909
AT1G13640	1395
AT1G35516	632
AT1G22210	0
AT1G33230	883
AT1G18050	0
AT1G79340	4509
AT1G57680	2131
AT1G29140	3
AT1G55110	511
AT1G67775	0
AT1G57730	0
AT1G64550	2729
AT1G68710	586
AT1G79270	754
AT1G67310	996
AT1G65610	287
AT1G53880	0
AT1G64380	43
AT1G27920	0
AT1G07220	363
AT1G14130	242
AT1G55040	264
AT1G35630	0
AT1G53860	43
AT1G71010	2606
AT1G56240	3
AT1G20630	2626
AT1G54217	194
AT1G44920	3231
AT1G63970	2135
AT1G26945	263
AT1G67870	14757
AT1G62850	685
AT1G50520	149
AT1G31500	467
AT1G15820	85129
AT1G72690	139
AT1G29030	401
AT1G75160	17
AT1G26090	343
AT1G59660	301
AT1G52460	0
AT1G10720	498
AT1G67670	1
AT1G11410	382
AT1G19025	79
AT1G80050	436
AT1G50320	4521
AT1G77330	1633
AT1G50090	5
AT1G16650	252
AT1G50830	19
AT1G02410	590
AT1G04420	3929
AT1G05190	13576
AT1G60660	511
AT1G13950	212
AT1G23147	0
AT1G17460	202
AT1G02110	990
AT1G32990	9264
AT1G22380	30
AT1G61300	793
AT1G15840	0
AT1G15440	1579
AT1G49650	910
AT1G18850	784
AT1G34150	238
AT1G13320	1894
AT1G13820	1447
AT1G15880	530
AT1G80810	513
AT1G54957	0
AT1G65310	239
AT1G20010	7974
AT1G52570	56
AT1G33520	1041
AT1G54350	1883
AT1G58160	70
AT1G30190	2
AT1G14550	3
AT1G62450	1
AT1G16830	97
AT1G44090	0
AT1G10880	0
AT1G64633	0
AT1G03830	667
AT1G52530	27
AT1G63580	10
AT1G01600	316
AT1G10210	185
AT1G62720	26
AT1G36980	1251
AT1G16705	8
AT1G74180	150
AT1G69480	36
AT1G71520	7
AT1G34792	0
AT1G35190	714
AT1G07850	0
AT1G09620	5614
AT1G02570	12
AT1G26790	1
AT1G03620	58
AT1G01350	806
AT1G65770	0
AT1G21395	0
AT1G13810	214
AT1G14520	58
AT1G55630	191
AT1G18390	300
AT1G26797	0
AT1G25480	215
AT1G28190	180
AT1G49530	21
AT1G18486	0
AT1G12880	182
AT1G08090	402
AT1G66460	15
AT1G24220	0
AT1G08035	6
AT1G04985	978
AT1G73780	18
AT1G36940	42
AT1G23850	41
AT1G66190	186
AT1G44318	0
AT1G24270	31
AT1G05350	812
AT1G19930	0
AT1G62520	166
AT1G23170	484
AT1G71150	1
AT1G11430	4366
AT1G17145	343
AT1G34815	0
AT1G73910	30
AT1G52050	226
AT1G34320	1222
AT1G48280	312
AT1G12170	0
AT1G49225	0
AT1G01715	69
AT1G29160	260
AT1G22660	480
AT1G79410	554
AT1G75990	835
AT1G76770	12
AT1G78800	481
AT1G57560	45
AT1G48040	232
AT1G63400	108
AT1G32320	1
AT1G71830	403
AT1G75800	2432
AT1G22260	45
AT1G75950	5903
AT1G43730	0
AT1G21060	188
AT1G11330	599
AT1G77600	598
AT1G68790	2121
AT1G22860	582
AT1G53200	251
AT1G35250	209
AT1G60986	0
AT1G52700	248
AT1G03980	31
AT1G19990	439
AT1G58936	0
AT1G24320	35
AT1G62422	195
AT1G53282	0
AT1G67890	804
AT1G62410	1
AT1G13530	61
AT1G18260	1488
AT1G76210	3
AT1G34430	3669
AT1G14460	655
AT1G61350	523
AT1G42440	2055
AT1G12064	0
AT1G06570	405
AT1G55310	1008
AT1G63740	268
AT1G09870	876
AT1G17710	337
AT1G27200	463
AT1G62120	150
AT1G04770	634
AT1G67920	69
AT1G09410	78
AT1G10540	17
AT1G63615	0
AT1G49240	6010
AT1G09240	295
AT1G67810	136
AT1G70850	3030
AT1G56360	0
AT1G18835	28
AT1G65920	314
AT1G11915	25
AT1G28440	2245
AT1G01650	817
AT1G16510	58
AT1G25025	0
AT1G53023	0
AT1G33440	120
AT1G74720	1501
AT1G72290	0
AT1G53230	218
AT1G01970	1305
AT1G12860	1043
AT1G11400	508
AT1G53705	0
AT1G75560	1449
AT1G56225	0
AT1G27290	688
AT1G16740	1452
AT1G64060	566
AT1G15470	566
AT1G01800	1571
AT1G27260	0
AT1G30560	6
AT1G41830	3233
AT1G31490	1
AT1G34490	3
AT1G08440	4
AT1G04440	1474
AT1G49520	122
AT1G44608	44
AT1G54370	746
AT1G12600	15
AT1G74920	3947
AT1G08150	0
AT1G36100	0
AT1G77080	898
AT1G15610	0
AT1G56050	1595
AT1G55365	0
AT1G15130	2067
AT1G26220	0
AT1G48720	0
AT1G09932	137
AT1G49420	0
AT1G15670	559
AT1G78895	200
AT1G15460	23
AT1G22530	1979
AT1G05780	162
AT1G17840	1646
AT1G18080	15873
AT1G66970	2371
AT1G47265	0
AT1G25280	1018
AT1G48000	33
AT1G53330	75
AT1G62700	29
AT1G20135	0
AT1G64650	2449
AT1G61562	0
AT1G23210	26
AT1G49320	160
AT1G66400	91
AT1G58280	444
AT1G01060	29
AT1G53010	0
AT1G60320	0
AT1G65300	9
AT1G24280	1717
AT1G71696	414
AT1G09690	18848
AT1G14780	106
AT1G03120	20
AT1G31000	0
AT1G26665	835
AT1G51380	155
AT1G37150	23
AT1G05310	122
AT1G43130	608
AT1G04110	505
AT1G13620	16
AT1G24440	241
AT1G01440	511
AT1G66200	16913
AT1G09900	959
AT1G14455	11
AT1G01630	1648
AT1G20440	12016
AT1G77460	618
AT1G65040	719
AT1G71430	171
AT1G18790	0
AT1G14830	2582
AT1G11990	5
AT1G77750	949
AT1G52620	155
AT1G52930	1687
AT1G21430	0
AT1G48060	6
AT1G58270	2050
AT1G64790	4146
AT1G59885	0
AT1G34410	0
AT1G01550	2145
AT1G69270	41
AT1G23100	309
AT1G70940	1713
AT1G06810	1
AT1G32220	2226
AT1G03650	102
AT1G17330	336
AT1G16090	114
AT1G32160	1566
AT1G65090	0
AT1G78520	22
AT1G68325	0
AT1G55870	426
AT1G50900	2059
AT1G10590	3284
AT1G73050	0
AT1G10200	2958
AT1G74300	132
AT1G07250	1192
AT1G10370	714
AT1G09575	83
AT1G52618	87
AT1G05610	18
AT1G09150	1034
AT1G18690	168
AT1G57777	0
AT1G71730	1364
AT1G24390	0
AT1G61688	0
AT1G34310	0
AT1G55440	7
AT1G72530	70
AT1G62930	123
AT1G50480	6024
AT1G20540	508
AT1G58150	78
AT1G23060	63
AT1G23910	1
AT1G71330	18
AT1G48510	79
AT1G66370	4
AT1G24520	8
AT1G58225	18
AT1G76680	3171
AT1G34245	191
AT1G57565	0
AT1G77420	201
AT1G27310	1926
AT1G35255	11
AT1G24020	7587
AT1G72960	3
AT1G28210	167
AT1G14840	1114
AT1G35620	1285
AT1G72210	176
AT1G14685	1207
AT1G66070	1144
AT1G02070	8
AT1G70300	545
AT1G78922	1
AT1G33470	1490
AT1G55947	1
AT1G55540	771
AT1G78890	664
AT1G59940	96
AT1G01910	1799
AT1G01570	56
AT1G08730	44
AT1G68185	272
AT1G16080	3393
AT1G04940	179
AT1G02340	17
AT1G62880	195
AT1G67930	1105
AT1G51170	445
AT1G71970	319
AT1G05385	652
AT1G47845	1
AT1G67560	764
AT1G26320	0
AT1G01680	14
AT1G67025	0
AT1G64160	6
AT1G51780	2
AT1G65660	1337
AT1G51600	671
AT1G71500	7318
AT1G70780	3717
AT1G66160	154
AT1G73120	93
AT1G48090	2159
AT1G70760	2
AT1G47765	0
AT1G48820	5
AT1G18300	172
AT1G73680	737
AT1G35040	0
AT1G02810	487
AT1G54460	908
AT1G21990	0
AT1G06180	276
AT1G75660	2923
AT1G48620	2546
AT1G74250	1369
AT1G07740	117
AT1G77140	633
AT1G73170	1507
AT1G67500	482
AT1G26350	0
AT1G32510	12
AT1G22890	96
AT1G23830	0
AT1G76510	678
AT1G08010	581
AT1G05840	410
AT1G55200	211
AT1G17070	470
AT1G78090	389
AT1G70810	771
AT1G64750	2020
AT1G46984	0
AT1G11460	5
AT1G78440	39
AT1G79570	1437
AT1G09157	0
AT1G03720	0
AT1G01690	253
AT1G76230	3
AT1G63240	567
AT1G70960	0
AT1G34300	469
AT1G09680	78
AT1G42680	0
AT1G29180	9
AT1G03730	297
AT1G18160	1399
AT1G53490	72
AT1G77100	0
AT1G67130	0
AT1G26260	145
AT1G64255	0
AT1G08290	149
AT1G12320	111
AT1G18990	0
AT1G11220	178
AT1G55207	10
AT1G74660	126
AT1G63460	670
AT1G55325	1368
AT1G77660	171
AT1G30130	737
AT1G80390	6
AT1G31300	570
AT1G73750	390
AT1G55990	286
AT1G60570	0
AT1G68907	0
AT1G66030	5
AT1G27170	126
AT1G04700	97
AT1G67050	210
AT1G76220	33
AT1G56400	0
AT1G78040	10566
AT1G49170	184
AT1G31540	369
AT1G29420	0
AT1G64840	297
AT1G62030	89
AT1G60095	81
AT1G21230	2
AT1G21660	1254
AT1G65320	544
AT1G50570	899
AT1G33850	0
AT1G47870	453
AT1G47680	0
AT1G48850	3215
AT1G70440	8
AT1G65150	212
AT1G72800	52
AT1G09000	206
AT1G36160	6008
AT1G02145	461
AT1G23510	0
AT1G51690	1826
AT1G50650	1
AT1G47578	39
AT1G56105	0
AT1G06490	299
AT1G63640	882
AT1G19970	135
AT1G50110	333
AT1G21540	147
AT1G13590	165
AT1G22610	0
AT1G75110	66
AT1G73110	1613
AT1G36756	0
AT1G20370	810
AT1G55510	353
AT1G77170	245
