Geneid	SRR9257061
AT1G30814	0
AT1G78930	133
AT1G71695	4067
AT1G58983	0
AT1G12980	11
AT1G45223	0
AT1G56250	10
AT1G66852	0
AT1G69810	342
AT1G72450	308
AT1G76280	454
AT1G65630	0
AT1G71390	0
AT1G56233	1
AT1G15210	1589
AT1G15250	571
AT1G79700	186
AT1G62895	0
AT1G73360	192
AT1G16360	10
AT1G10225	1
AT1G26670	818
AT1G34855	0
AT1G52200	1186
AT1G57800	0
AT1G69460	1312
AT1G04310	288
AT1G08080	1
AT1G75550	175
AT1G71890	46
AT1G05430	707
AT1G80870	564
AT1G75310	808
AT1G02010	219
AT1G47900	1553
AT1G14315	0
AT1G26760	259
AT1G05250	0
AT1G67260	25
AT1G24575	289
AT1G12790	84
AT1G04850	3009
AT1G31760	184
AT1G33250	593
AT1G74000	90
AT1G55580	29
AT1G53903	0
AT1G19715	1489
AT1G69430	12
AT1G53340	61
AT1G29890	927
AT1G80290	200
AT1G56540	28
AT1G48650	2407
AT1G22670	1
AT1G07030	629
AT1G69860	0
AT1G10120	570
AT1G43650	168
AT1G09960	346
AT1G51990	0
AT1G53625	66
AT1G63360	844
AT1G33330	425
AT1G74929	0
AT1G63430	747
AT1G80720	282
AT1G69770	1088
AT1G08460	481
AT1G78710	3
AT1G08610	337
AT1G17540	4
AT1G27380	29
AT1G58643	0
AT1G48953	0
AT1G51440	71
AT1G18871	0
AT1G25210	0
AT1G21610	724
AT1G79710	274
AT1G80840	81
AT1G71300	1
AT1G49490	176
AT1G23645	0
AT1G09795	2822
AT1G48690	83
AT1G49570	201
AT1G68470	210
AT1G75580	103
AT1G26400	0
AT1G72980	1
AT1G59970	272
AT1G11520	0
AT1G30640	324
AT1G26440	264
AT1G51320	0
AT1G22070	1337
AT1G26700	14
AT1G73603	0
AT1G55650	0
AT1G78180	653
AT1G55928	0
AT1G29880	4009
AT1G53645	1803
AT1G06240	347
AT1G72330	440
AT1G20840	3735
AT1G45050	273
AT1G52500	446
AT1G10430	881
AT1G05670	246
AT1G64110	97
AT1G65220	2375
AT1G13635	24
AT1G54950	1
AT1G55730	383
AT1G07310	1102
AT1G77230	118
AT1G52400	3144
AT1G16430	201
AT1G27752	754
AT1G14880	120
AT1G11190	139
AT1G43100	0
AT1G26650	460
AT1G54420	0
AT1G34640	198
AT1G50310	4
AT1G49430	1238
AT1G74240	254
AT1G01760	114
AT1G61160	0
AT1G47480	270
AT1G65820	2601
AT1G22900	163
AT1G76820	140
AT1G52080	161
AT1G35180	78
AT1G30070	446
AT1G35210	23
AT1G10410	966
AT1G73740	276
AT1G53350	376
AT1G34110	439
AT1G17240	15
AT1G61730	1595
AT1G29260	673
AT1G33890	1
AT1G08040	659
AT1G63522	0
AT1G08810	271
AT1G09210	7346
AT1G70080	3
AT1G10522	1333
AT1G04570	30
AT1G01830	453
AT1G12340	12
AT1G67590	766
AT1G69080	112
AT1G31400	1
AT1G74385	0
AT1G73300	3
AT1G05760	0
AT1G30530	1538
AT1G12480	70
AT1G76850	2256
AT1G73570	178
AT1G44130	7
AT1G67340	456
AT1G80315	0
AT1G43666	0
AT1G08630	18
AT1G66150	1795
AT1G04640	1321
AT1G56500	3389
AT1G12615	0
AT1G77120	5706
AT1G50590	41
AT1G17147	51
AT1G44740	117
AT1G08005	0
AT1G24380	1
AT1G60787	9
AT1G26796	0
AT1G68500	222
AT1G15500	7835
AT1G77760	7016
AT1G24062	0
AT1G53510	1615
AT1G51410	1
AT1G50020	708
AT1G22370	304
AT1G53265	0
AT1G17270	192
AT1G74350	73
AT1G75230	304
AT1G29150	2945
AT1G17140	1070
AT1G08380	92648
AT1G43560	1967
AT1G07700	987
AT1G33750	312
AT1G61270	3
AT1G14750	62
AT1G05900	284
AT1G44120	0
AT1G52990	8
AT1G37130	11554
AT1G48175	316
AT1G72140	48
AT1G66465	22
AT1G43260	0
AT1G14420	5
AT1G01710	827
AT1G44000	1205
AT1G73960	1092
AT1G11360	817
AT1G04490	24
AT1G78476	10
AT1G15310	258
AT1G13300	665
AT1G55530	655
AT1G47350	0
AT1G74458	138
AT1G32120	224
AT1G17260	56
AT1G32660	0
AT1G31480	349
AT1G17500	955
AT1G50780	2
AT1G21150	130
AT1G78110	245
AT1G80080	774
AT1G23260	885
AT1G09790	0
AT1G60270	167
AT1G25400	146
AT1G77980	0
AT1G43140	7
AT1G42470	600
AT1G34170	0
AT1G56150	52
AT1G75520	168
AT1G53890	0
AT1G43722	0
AT1G73370	382
AT1G01230	751
AT1G70700	405
AT1G02380	39
AT1G48870	74
AT1G69280	48
AT1G36950	0
AT1G12430	959
AT1G56320	107
AT1G50880	0
AT1G36310	1320
AT1G44830	15
AT1G01300	2806
AT1G48050	572
AT1G36925	0
AT1G30670	0
AT1G22180	264
AT1G17450	634
AT1G61630	0
AT1G28590	10
AT1G79670	476
AT1G68170	3
AT1G60080	250
AT1G51240	0
AT1G07130	0
AT1G42525	0
AT1G64355	1244
AT1G04820	13476
AT1G71866	21
AT1G33050	767
AT1G77810	248
AT1G16210	1921
AT1G34580	32
AT1G02050	159
AT1G66500	106
AT1G04030	156
AT1G32480	0
AT1G29370	1565
AT1G18880	728
AT1G50740	284
AT1G02580	5
AT1G58220	169
AT1G07350	830
AT1G06950	7772
AT1G19200	179
