Geneid	SRR9257063
AT1G18200	51
AT1G55680	2370
AT1G34000	781
AT1G04410	16936
AT1G45243	0
AT1G21650	892
AT1G28520	1140
AT1G14048	0
AT1G05220	27
AT1G63245	8
AT1G66180	2232
AT1G07790	708
AT1G07720	333
AT1G16420	7
AT1G72740	622
AT1G05060	249
AT1G55960	1025
AT1G32060	10920
AT1G77700	35
AT1G75510	638
AT1G54090	533
AT1G26520	224
AT1G15240	1225
AT1G07980	674
AT1G01740	225
AT1G62914	121
AT1G53090	519
AT1G08540	1838
AT1G12460	299
AT1G06250	185
AT1G52827	72
AT1G47690	0
AT1G49590	331
AT1G06280	0
AT1G78420	1120
AT1G08465	168
AT1G32970	1
AT1G28815	0
AT1G01260	361
AT1G26815	0
AT1G16730	749
AT1G08700	2105
AT1G66590	411
AT1G09550	0
AT1G16370	10
AT1G80730	7
AT1G11420	247
AT1G61210	880
AT1G57980	21
AT1G15140	1495
AT1G04810	2150
AT1G67070	75
AT1G53270	53
AT1G04550	488
AT1G44940	2
AT1G47810	0
AT1G27450	4158
AT1G33055	301
AT1G69400	71
AT1G51920	2
AT1G56000	216
AT1G42540	1039
AT1G08100	0
AT1G29465	146
AT1G75960	290
AT1G63420	346
AT1G29470	10411
AT1G48310	236
AT1G32930	268
AT1G63880	1537
AT1G04630	1224
AT1G27150	498
AT1G79110	362
AT1G68490	1829
AT1G06040	1742
AT1G18970	89
AT1G72430	1206
AT1G03040	960
AT1G28250	239
AT1G66630	2
AT1G10530	24
AT1G24090	318
AT1G09640	2946
AT1G14080	60
AT1G78760	8
AT1G44542	2
AT1G49350	162
AT1G47240	253
AT1G28430	9
AT1G12190	0
AT1G66610	2
AT1G16022	9
AT1G13370	26
AT1G21370	410
AT1G21590	1074
AT1G50390	43
AT1G60870	845
AT1G69870	2789
AT1G18610	345
AT1G13890	0
AT1G24260	525
AT1G64140	4701
AT1G02290	307
AT1G26740	764
AT1G20460	103
AT1G11500	5
AT1G75040	579
AT1G07985	88
AT1G74035	0
AT1G15510	868
AT1G07040	550
AT1G71170	908
AT1G63470	216
AT1G13640	1171
AT1G35516	540
AT1G22210	3
AT1G33230	965
AT1G18050	0
AT1G79340	1791
AT1G57680	1447
AT1G29140	4
AT1G55110	152
AT1G67775	0
AT1G57730	0
AT1G64550	4838
AT1G68710	616
AT1G79270	1167
AT1G67310	1041
AT1G65610	234
AT1G53880	0
AT1G64380	72
AT1G27920	3
AT1G07220	484
AT1G14130	262
AT1G55040	334
AT1G35630	1
AT1G53860	25
AT1G71010	2501
AT1G56240	2
AT1G20630	1855
AT1G54217	105
AT1G44920	1213
AT1G63970	2150
AT1G26945	43
AT1G67870	2527
AT1G62850	492
AT1G50520	98
AT1G31500	315
AT1G15820	38179
AT1G72690	154
AT1G29030	692
AT1G75160	10
AT1G26090	239
AT1G59660	881
AT1G52460	0
AT1G10720	442
AT1G67670	0
AT1G11410	442
AT1G19025	84
AT1G80050	404
AT1G50320	1676
AT1G77330	437
AT1G50090	14
AT1G16650	235
AT1G50830	20
AT1G02410	557
AT1G04420	3557
AT1G05190	6678
AT1G60660	270
AT1G13950	387
AT1G23147	0
AT1G17460	446
AT1G02110	768
AT1G32990	4814
AT1G22380	85
AT1G61300	545
AT1G15840	1
AT1G15440	2231
AT1G49650	510
AT1G18850	803
AT1G34150	484
AT1G13320	1694
AT1G13820	1035
AT1G15880	417
AT1G80810	271
AT1G54957	0
AT1G65310	277
AT1G20010	2563
AT1G52570	123
AT1G33520	1107
AT1G54350	498
AT1G58160	37
AT1G30190	8
AT1G14550	0
AT1G62450	0
AT1G16830	127
AT1G44090	0
AT1G10880	0
AT1G64633	0
AT1G03830	765
AT1G52530	26
AT1G63580	10
AT1G01600	92
AT1G10210	147
AT1G62720	49
AT1G36980	1526
AT1G16705	7
AT1G74180	297
AT1G69480	141
AT1G71520	1
AT1G34792	0
AT1G35190	1010
AT1G07850	2
AT1G09620	4301
AT1G02570	8
AT1G26790	4
AT1G03620	57
AT1G01350	924
AT1G65770	1
AT1G21395	0
AT1G13810	379
AT1G14520	194
AT1G55630	172
AT1G18390	150
AT1G26797	0
AT1G25480	100
AT1G28190	326
AT1G49530	30
AT1G18486	0
AT1G12880	209
AT1G08090	60
AT1G66460	3
AT1G24220	0
AT1G08035	2
AT1G04985	1121
AT1G73780	7
AT1G36940	83
AT1G23850	51
AT1G66190	101
AT1G44318	0
AT1G24270	15
AT1G05350	622
AT1G19930	0
AT1G62520	165
AT1G23170	276
AT1G71150	23
AT1G11430	2641
AT1G17145	564
AT1G34815	0
AT1G73910	41
AT1G52050	68
AT1G34320	807
AT1G48280	208
AT1G12170	0
AT1G49225	0
AT1G01715	176
AT1G29160	80
AT1G22660	650
AT1G79410	100
AT1G75990	388
AT1G76770	8
AT1G78800	534
AT1G57560	24
AT1G48040	281
AT1G63400	135
AT1G32320	0
AT1G71830	401
AT1G75800	2571
AT1G22260	38
AT1G75950	3878
AT1G43730	0
AT1G21060	139
AT1G11330	558
AT1G77600	628
AT1G68790	1662
AT1G22860	599
AT1G53200	369
AT1G35250	54
AT1G60986	1
AT1G52700	114
AT1G03980	66
AT1G19990	185
AT1G58936	0
AT1G24320	10
AT1G62422	201
AT1G53282	0
AT1G67890	667
AT1G62410	1
AT1G13530	9
AT1G18260	2572
AT1G76210	0
AT1G34430	2021
AT1G14460	606
AT1G61350	548
AT1G42440	2294
AT1G12064	11
AT1G06570	886
AT1G55310	1957
AT1G63740	454
AT1G09870	960
AT1G17710	313
AT1G27200	602
AT1G62120	113
AT1G04770	957
AT1G67920	46
AT1G09410	55
AT1G10540	43
AT1G63615	0
AT1G49240	5073
AT1G09240	205
AT1G67810	20
AT1G70850	119
AT1G56360	0
AT1G18835	6
AT1G65920	238
AT1G11915	31
AT1G28440	1223
AT1G01650	578
AT1G16510	111
AT1G25025	0
AT1G53023	0
AT1G33440	91
AT1G74720	1666
AT1G72290	0
AT1G53230	68
AT1G01970	665
AT1G12860	441
AT1G11400	517
AT1G53705	0
AT1G75560	1610
AT1G56225	0
AT1G27290	539
AT1G16740	797
AT1G64060	443
AT1G15470	334
AT1G01800	1307
AT1G27260	0
AT1G30560	2
AT1G41830	2092
AT1G31490	0
AT1G34490	0
AT1G08440	40
AT1G04440	2027
AT1G49520	163
AT1G44608	27
AT1G54370	589
AT1G12600	3
AT1G74920	3603
AT1G08150	1
AT1G36100	0
AT1G77080	503
AT1G15610	0
AT1G56050	1435
AT1G55365	1
AT1G15130	1790
AT1G26220	0
AT1G48720	358
AT1G09932	48
AT1G49420	0
AT1G15670	634
AT1G78895	144
AT1G15460	78
AT1G22530	1222
AT1G05780	183
AT1G17840	1436
AT1G18080	8780
AT1G66970	1720
AT1G47265	3
AT1G25280	954
AT1G48000	41
AT1G53330	107
AT1G62700	31
AT1G20135	0
AT1G64650	860
AT1G61562	0
AT1G23210	13
AT1G49320	92
AT1G66400	119
AT1G58280	377
AT1G01060	132
AT1G53010	0
AT1G60320	0
AT1G65300	6
AT1G24280	960
AT1G71696	747
AT1G09690	12213
AT1G14780	275
AT1G03120	16
AT1G31000	0
AT1G26665	668
AT1G51380	479
AT1G37150	27
AT1G05310	81
AT1G43130	470
AT1G04110	48
AT1G13620	4
AT1G24440	219
AT1G01440	374
AT1G66200	10332
AT1G09900	702
AT1G14455	2
AT1G01630	1403
AT1G20440	6790
AT1G77460	618
AT1G65040	1225
AT1G71430	117
AT1G18790	0
AT1G14830	1761
AT1G11990	6
AT1G77750	587
AT1G52620	152
AT1G52930	1781
AT1G21430	0
AT1G48060	3
AT1G58270	165
AT1G64790	4667
AT1G59885	0
AT1G34410	0
AT1G01550	1467
AT1G69270	41
AT1G23100	472
AT1G70940	2361
AT1G06810	3
AT1G32220	1173
AT1G03650	149
AT1G17330	139
AT1G16090	47
AT1G32160	529
AT1G65090	1
AT1G78520	3
AT1G68325	0
AT1G55870	853
AT1G50900	968
AT1G10590	2095
AT1G73050	11
AT1G10200	2050
AT1G74300	43
AT1G07250	713
AT1G10370	971
AT1G09575	72
AT1G52618	47
AT1G05610	18
AT1G09150	1193
AT1G18690	245
AT1G57777	0
AT1G71730	961
AT1G24390	0
AT1G61688	0
AT1G34310	0
AT1G55440	10
AT1G72530	157
AT1G62930	161
AT1G50480	6272
AT1G20540	617
AT1G58150	805
AT1G23060	36
AT1G23910	0
AT1G71330	140
AT1G48510	46
AT1G66370	0
AT1G24520	11
AT1G58225	1
AT1G76680	943
